Dataset,Approach,Sparsify,Data Uploaded,Goal Accuracy
FEMNIST,Top-k,1%,413728,60
FEMNIST,Top-k,10%,2659896,60
FEMNIST,Top-k,100%,38421552,60
FEMNIST,Top-k,3%,886640,60
FEMNIST,Top-k,30%,8866480,60
FEMNIST,Top-k,5%,1329912,60
FEMNIST,Top-k,50%,17733024,60
CIFAR-10,Random,1%,,70
CIFAR-10,Random,10%,,70
CIFAR-10,Random,100%,,70
CIFAR-10,Random,3%,,70
CIFAR-10,Random,30%,,70
CIFAR-10,Random,5%,,70
CIFAR-10,Random,50%,,70
CIFAR-10,Threshold,0 (100%),,70
CIFAR-10,Threshold,0.001 (~24.5%),,70
CIFAR-10,Threshold,0.003 (~3.6%),,70
CIFAR-10,Threshold,0.005 (~1.2%),,70
CIFAR-10,Threshold,0.007 (~0.6%),,70
CIFAR-10,Threshold,0.0085 (~0.4%),,70
CIFAR-10,Threshold,0.01 (~0.2%),,70
CIFAR-10,Top-k,1%,,70
CIFAR-10,Top-k,10%,,70
CIFAR-10,Top-k,100%,,70
CIFAR-10,Top-k,3%,,70
CIFAR-10,Top-k,30%,,70
CIFAR-10,Top-k,5%,,70
CIFAR-10,Top-k,50%,,70
FEMNIST,Random,1%,,70
FEMNIST,Random,10%,5910880,70
FEMNIST,Random,100%,47288064,70
FEMNIST,Random,3%,,70
FEMNIST,Random,30%,14186368,70
FEMNIST,Random,5%,3841968,70
FEMNIST,Random,50%,22166280,70
FEMNIST,Threshold,0 (100%),47288064,70
FEMNIST,Threshold,0.001 (~29.4%),10433033.07,70
FEMNIST,Threshold,0.003 (~5.6%),1978266.667,70
FEMNIST,Threshold,0.005 (~1.9%),993245.9999,70
FEMNIST,Threshold,0.007 (~0.8%),520040.7332,70
FEMNIST,Threshold,0.0085 (~0.5%),,70
FEMNIST,Threshold,0.01 (~0.4%),,70
FEMNIST,Top-k,1%,620592,70
FEMNIST,Top-k,10%,3842072,70
FEMNIST,Top-k,100%,47288064,70
FEMNIST,Top-k,3%,1063968,70
FEMNIST,Top-k,30%,10639776,70
FEMNIST,Top-k,5%,1920984,70
FEMNIST,Top-k,50%,20688528,70
CIFAR-10,Random,1%,,75
CIFAR-10,Random,10%,,75
CIFAR-10,Random,100%,,75
CIFAR-10,Random,3%,,75
CIFAR-10,Random,30%,,75
CIFAR-10,Random,5%,,75
CIFAR-10,Random,50%,,75
CIFAR-10,Threshold,0 (100%),,75
CIFAR-10,Threshold,0.001 (~24.5%),,75
CIFAR-10,Threshold,0.003 (~3.6%),,75
CIFAR-10,Threshold,0.005 (~1.2%),,75
CIFAR-10,Threshold,0.007 (~0.6%),,75
CIFAR-10,Threshold,0.0085 (~0.4%),,75
CIFAR-10,Threshold,0.01 (~0.2%),,75
CIFAR-10,Top-k,1%,,75
CIFAR-10,Top-k,10%,,75
CIFAR-10,Top-k,100%,,75
CIFAR-10,Top-k,3%,,75
CIFAR-10,Top-k,30%,,75
CIFAR-10,Top-k,5%,,75
CIFAR-10,Top-k,50%,,75
FEMNIST,Random,1%,,75
FEMNIST,Random,10%,7388600,75
FEMNIST,Random,100%,56154576,75
FEMNIST,Random,3%,,75
FEMNIST,Random,30%,17732960,75
FEMNIST,Random,5%,,75
FEMNIST,Random,50%,28077288,75
FEMNIST,Threshold,0 (100%),56154576,75
FEMNIST,Threshold,0.001 (~29.4%),13041291.33,75
FEMNIST,Threshold,0.003 (~5.6%),2472833.334,75
